,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000069.SZ,20211216,6.24,6.36,6.2,6.33,6.24,0.09,1.4423,282682.23,178028.254
1,000069.SZ,20211215,6.3,6.32,6.22,6.24,6.28,-0.04,-0.6369,300608.99,188296.741
2,000069.SZ,20211214,6.35,6.35,6.24,6.28,6.35,-0.07,-1.1024,297531.78,186722.463
3,000069.SZ,20211213,6.4,6.47,6.33,6.35,6.42,-0.07,-1.0903,382339.78,244375.115
4,000069.SZ,20211210,6.5,6.53,6.38,6.42,6.56,-0.14,-2.1341,356456.23,229425.08
5,000069.SZ,20211209,6.45,6.58,6.38,6.56,6.42,0.14,2.1807,576952.24,375642.393
6,000069.SZ,20211208,6.47,6.48,6.32,6.42,6.43,-0.01,-0.1555,377288.11,240723.197
7,000069.SZ,20211207,6.38,6.55,6.34,6.43,6.27,0.16,2.5518,901121.82,583485.761
8,000069.SZ,20211206,6.2,6.41,6.17,6.27,6.11,0.16,2.6187,792378.67,498836.21
9,000069.SZ,20211203,6.07,6.12,5.97,6.11,6.08,0.03,0.4934,358557.95,216914.085
10,000069.SZ,20211202,6.0,6.08,5.97,6.08,6.03,0.05,0.8292,269439.05,162632.474
11,000069.SZ,20211201,5.91,6.07,5.91,6.03,5.93,0.1,1.6863,421422.17,253209.626
12,000069.SZ,20211130,5.97,6.04,5.9,5.93,5.97,-0.04,-0.67,446051.08,265570.069
13,000069.SZ,20211129,6.05,6.07,5.93,5.97,6.12,-0.15,-2.451,488951.34,293216.932
14,000069.SZ,20211126,6.18,6.19,6.1,6.12,6.2,-0.08,-1.2903,214764.92,131552.377
15,000069.SZ,20211125,6.25,6.27,6.19,6.2,6.24,-0.04,-0.641,219767.17,136669.05
16,000069.SZ,20211124,6.2,6.29,6.2,6.24,6.23,0.01,0.1605,215605.96,134747.365
17,000069.SZ,20211123,6.22,6.3,6.2,6.23,6.22,0.01,0.1608,258922.1,161499.573
18,000069.SZ,20211122,6.38,6.4,6.21,6.22,6.35,-0.13,-2.0472,342665.76,214062.995
19,000069.SZ,20211119,6.28,6.39,6.2,6.35,6.2,0.15,2.4194,314359.59,197535.193
20,000069.SZ,20211118,6.34,6.38,6.18,6.2,6.34,-0.14,-2.2082,312977.02,196122.964
21,000069.SZ,20211117,6.42,6.46,6.33,6.34,6.42,-0.08,-1.2461,215103.92,137080.04
22,000069.SZ,20211116,6.42,6.55,6.39,6.42,6.43,-0.01,-0.1555,283151.71,183101.692
23,000069.SZ,20211115,6.39,6.45,6.26,6.43,6.4,0.03,0.4688,368881.98,234116.175
24,000069.SZ,20211112,6.53,6.55,6.35,6.4,6.64,-0.24,-3.6145,567764.91,364686.412
25,000069.SZ,20211111,6.23,6.65,6.2,6.64,6.23,0.41,6.5811,1008745.74,654708.424
26,000069.SZ,20211110,6.0,6.26,5.9,6.23,6.0,0.23,3.8333,656589.8,399344.529
27,000069.SZ,20211109,5.95,6.01,5.93,6.0,5.95,0.05,0.8403,236701.6,141456.891
28,000069.SZ,20211108,5.94,6.06,5.93,5.95,5.92,0.03,0.5068,343401.44,205413.846
29,000069.SZ,20211105,5.98,6.05,5.92,5.92,5.98,-0.06,-1.0033,295893.16,175867.49
30,000069.SZ,20211104,6.01,6.04,5.93,5.98,5.99,-0.01,-0.1669,306491.04,183554.888
31,000069.SZ,20211103,6.1,6.19,5.99,5.99,6.08,-0.09,-1.4803,567172.31,343984.706
32,000069.SZ,20211102,6.26,6.31,6.0,6.08,6.26,-0.18,-2.8754,495476.6,304773.22
33,000069.SZ,20211101,6.24,6.37,6.21,6.26,6.26,0.0,0.0,347745.52,218317.289
34,000069.SZ,20211029,6.35,6.4,6.21,6.26,6.35,-0.09,-1.4173,425473.0,266770.891
35,000069.SZ,20211028,6.5,6.56,6.3,6.35,6.51,-0.16,-2.4578,406679.46,259543.15
36,000069.SZ,20211027,6.63,6.63,6.47,6.51,6.64,-0.13,-1.9578,416425.03,272407.506
37,000069.SZ,20211026,6.75,6.87,6.6,6.64,6.82,-0.18,-2.6393,590433.16,395606.288
38,000069.SZ,20211025,6.9,7.03,6.76,6.82,7.08,-0.26,-3.6723,688907.28,471512.571
39,000069.SZ,20211022,7.12,7.36,7.01,7.08,7.07,0.01,0.1414,701412.27,501730.421
40,000069.SZ,20211021,6.91,7.14,6.87,7.07,6.87,0.2,2.9112,409231.84,287826.888
41,000069.SZ,20211020,7.07,7.07,6.83,6.87,7.04,-0.17,-2.4148,385295.38,266327.551
42,000069.SZ,20211019,7.04,7.13,6.97,7.04,7.03,0.01,0.1422,268009.38,189051.009
43,000069.SZ,20211018,7.15,7.15,6.91,7.03,7.12,-0.09,-1.264,449596.69,314829.593
44,000069.SZ,20211015,7.15,7.4,7.05,7.12,7.11,0.01,0.1406,421326.53,304061.487
45,000069.SZ,20211014,7.35,7.36,6.98,7.11,7.57,-0.46,-6.0766,757395.14,541478.975
46,000069.SZ,20211013,7.6,7.74,7.48,7.57,7.69,-0.12,-1.5605,535267.72,406342.662
47,000069.SZ,20211012,7.33,7.85,7.3,7.69,7.37,0.32,4.3419,1115524.88,852521.404
48,000069.SZ,20211011,7.22,7.52,7.22,7.37,7.21,0.16,2.2191,573826.82,423539.785
49,000069.SZ,20211008,7.53,7.59,7.17,7.21,7.49,-0.28,-3.7383,752362.71,551265.16
50,000069.SZ,20210930,7.28,7.55,7.27,7.49,7.2,0.29,4.0278,771426.02,576627.919
51,000069.SZ,20210929,7.2,7.37,7.16,7.2,7.26,-0.06,-0.8264,538261.45,391918.147
52,000069.SZ,20210928,7.2,7.33,7.1,7.26,7.07,0.19,2.6874,480936.77,348932.72
53,000069.SZ,20210927,7.36,7.42,7.05,7.07,7.37,-0.3,-4.0706,565488.8,406151.931
