,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
27,301011.SZ,20211109,57.0,64.5,56.39,62.31,59.0,3.31,5.6102,44981.44,272705.893
28,301011.SZ,20211108,60.97,64.5,58.26,59.0,56.69,2.31,4.0748,46113.39,280499.262
29,301011.SZ,20211105,53.4,59.0,52.7,56.69,53.8,2.89,5.3717,42424.41,240834.258
30,301011.SZ,20211104,50.36,53.88,50.31,53.8,50.74,3.06,6.0307,19419.41,101101.114
31,301011.SZ,20211103,49.56,52.98,49.56,50.74,49.96,0.78,1.5612,14783.57,75854.835
32,301011.SZ,20211102,52.57,53.2,49.5,49.96,52.24,-2.28,-4.3645,17487.78,88389.822
33,301011.SZ,20211101,51.0,55.77,50.78,52.24,48.25,3.99,8.2694,25575.3,134595.733
34,301011.SZ,20211029,47.43,49.35,47.15,48.25,46.63,1.62,3.4742,9731.53,47080.943
35,301011.SZ,20211028,48.89,49.66,46.6,46.63,48.78,-2.15,-4.4075,7364.75,35142.625
36,301011.SZ,20211027,50.49,51.22,48.6,48.78,50.47,-1.69,-3.3485,7686.97,37849.777
37,301011.SZ,20211026,52.05,52.61,50.43,50.47,52.07,-1.6,-3.0728,8163.5,41667.97
38,301011.SZ,20211025,52.4,52.88,51.5,52.07,52.85,-0.78,-1.4759,7511.07,39103.16
39,301011.SZ,20211022,50.54,53.49,50.54,52.85,50.85,2.0,3.9331,10124.02,53196.946
40,301011.SZ,20211021,52.54,52.85,50.8,50.85,52.55,-1.7,-3.235,7916.68,40885.866
41,301011.SZ,20211020,52.8,53.48,51.76,52.55,53.24,-0.69,-1.296,8090.0,42460.499
42,301011.SZ,20211019,52.63,54.48,51.31,53.24,52.73,0.51,0.9672,13257.72,70129.485
43,301011.SZ,20211018,51.37,52.96,48.68,52.73,51.37,1.36,2.6475,13297.4,67746.71
44,301011.SZ,20211015,50.5,52.19,50.08,51.37,51.21,0.16,0.3124,10493.72,53726.616
45,301011.SZ,20211014,51.49,51.5,50.52,51.21,51.7,-0.49,-0.9478,7351.79,37495.097
46,301011.SZ,20211013,51.4,52.98,50.85,51.7,50.8,0.9,1.7717,8107.0,42126.007
47,301011.SZ,20211012,52.21,52.21,49.8,50.8,51.73,-0.93,-1.7978,6132.84,31112.837
48,301011.SZ,20211011,53.03,53.3,51.63,51.73,52.39,-0.66,-1.2598,7004.97,36408.637
49,301011.SZ,20211008,53.12,54.5,52.34,52.39,52.05,0.34,0.6532,7602.4,40508.867
50,301011.SZ,20210930,51.13,53.56,51.13,52.05,50.58,1.47,2.9063,9359.33,49063.674
51,301011.SZ,20210929,52.9,53.41,50.21,50.58,53.3,-2.72,-5.1032,11757.56,60710.104
52,301011.SZ,20210928,54.64,56.6,53.2,53.3,52.75,0.55,1.0427,11309.75,61466.264
53,301011.SZ,20210927,60.0,60.0,52.28,52.75,61.68,-8.93,-14.478,21635.25,117697.957
54,301011.SZ,20210924,60.8,63.2,59.83,61.68,61.25,0.43,0.702,11553.13,70584.07
55,301011.SZ,20210923,61.0,62.2,60.0,61.25,60.51,0.74,1.2229,10252.88,62700.81
56,301011.SZ,20210922,58.73,61.2,58.01,60.51,59.86,0.65,1.0859,9354.23,55820.964
57,301011.SZ,20210917,61.36,62.07,59.7,59.86,61.57,-1.71,-2.7773,10871.47,65854.038
58,301011.SZ,20210916,61.66,63.55,60.41,61.57,62.45,-0.88,-1.4091,12924.71,80071.444
59,301011.SZ,20210915,64.48,64.48,61.59,62.45,64.84,-2.39,-3.686,22179.99,138126.535
60,301011.SZ,20210914,63.88,65.99,62.0,64.84,64.78,0.06,0.0926,19452.51,124512.534
61,301011.SZ,20210913,64.01,66.44,62.75,64.78,64.25,0.53,0.8249,26450.82,171264.443
62,301011.SZ,20210910,66.24,66.97,63.49,64.25,66.24,-1.99,-3.0042,35291.85,228125.287
63,301011.SZ,20210909,72.2,74.8,66.02,66.24,76.0,-9.76,-12.8421,57613.86,398465.965
64,301011.SZ,20210908,78.0,78.88,72.12,76.0,73.47,2.53,3.4436,65875.75,498111.023
65,301011.SZ,20210907,70.5,82.7,69.2,73.47,68.92,4.55,6.6019,77934.74,598362.072
66,301011.SZ,20210906,69.71,73.0,65.5,68.92,67.8,1.12,1.6519,36246.2,249289.721
67,301011.SZ,20210903,61.5,69.29,61.5,67.8,61.78,6.02,9.7443,55761.19,367028.126
68,301011.SZ,20210902,63.5,64.71,60.66,61.78,63.5,-1.72,-2.7087,38000.35,235891.878
69,301011.SZ,20210901,69.02,71.79,62.7,63.5,68.9,-5.4,-7.8374,64116.48,424492.762
70,301011.SZ,20210831,71.54,73.5,67.03,68.9,70.4,-1.5,-2.1307,74332.64,520761.514
71,301011.SZ,20210830,74.3,75.8,68.01,70.4,63.17,7.23,11.4453,101035.34,733198.604
72,301011.SZ,20210827,53.0,63.17,51.17,63.17,52.64,10.53,20.0038,39805.78,232257.139
73,301011.SZ,20210826,53.8,53.88,52.03,52.64,54.36,-1.72,-3.1641,14614.45,77170.643
74,301011.SZ,20210825,54.01,57.6,53.05,54.36,53.35,1.01,1.8932,27098.73,150688.929
75,301011.SZ,20210824,52.62,53.57,51.51,53.35,52.62,0.73,1.3873,16545.06,87340.071
76,301011.SZ,20210823,51.2,52.75,50.62,52.62,50.58,2.04,4.0332,17498.13,90634.6
77,301011.SZ,20210820,49.52,51.3,48.11,50.58,49.9,0.68,1.3627,15218.73,76555.417
78,301011.SZ,20210819,49.91,51.48,49.59,49.9,49.24,0.66,1.3404,13368.16,67535.647
79,301011.SZ,20210818,48.35,49.7,48.32,49.24,48.88,0.36,0.7365,9639.49,47238.663
80,301011.SZ,20210817,51.25,52.18,48.75,48.88,50.91,-2.03,-3.9874,16554.68,83197.423
81,301011.SZ,20210816,50.3,51.85,50.3,50.91,50.93,-0.02,-0.0393,11117.6,56758.777
82,301011.SZ,20210813,52.6,53.02,50.5,50.93,52.9,-1.97,-3.724,17871.72,91508.047
83,301011.SZ,20210812,53.44,54.47,52.51,52.9,53.44,-0.54,-1.0105,12902.71,68813.167
84,301011.SZ,20210811,54.0,54.1,52.68,53.44,54.11,-0.67,-1.2382,11757.02,62474.298
85,301011.SZ,20210810,54.98,55.47,53.18,54.11,54.46,-0.35,-0.6427,16691.9,90437.918
86,301011.SZ,20210809,51.51,55.49,50.35,54.46,51.51,2.95,5.727,27939.3,149168.103
87,301011.SZ,20210806,50.0,52.36,48.61,51.51,50.49,1.02,2.0202,23324.26,118525.437
88,301011.SZ,20210805,53.35,53.5,50.0,50.49,52.73,-2.24,-4.2481,24041.33,122147.533
89,301011.SZ,20210804,51.41,53.5,51.3,52.73,51.62,1.11,2.1503,20769.18,109142.445
90,301011.SZ,20210803,54.49,56.68,51.6,51.62,55.28,-3.66,-6.6208,29592.19,159597.877
91,301011.SZ,20210802,51.06,55.59,49.63,55.28,52.87,2.41,4.5584,33864.27,179629.973
92,301011.SZ,20210730,57.5,58.18,52.81,52.87,57.95,-5.08,-8.7662,42660.11,231393.031
93,301011.SZ,20210729,57.13,59.87,57.13,57.95,57.08,0.87,1.5242,23525.54,137268.129
94,301011.SZ,20210728,59.0,59.98,55.0,57.08,59.0,-1.92,-3.2542,30126.11,174264.689
95,301011.SZ,20210727,62.6,62.8,59.0,59.0,64.0,-5.0,-7.8125,43647.79,265250.012
96,301011.SZ,20210726,61.87,66.3,59.87,64.0,60.9,3.1,5.0903,47337.43,299518.128
97,301011.SZ,20210723,58.5,64.97,57.62,60.9,57.5,3.4,5.913,61364.45,369075.864
98,301011.SZ,20210722,52.31,61.2,51.5,57.5,53.3,4.2,7.8799,72805.98,414538.692
99,301011.SZ,20210721,54.91,57.53,53.3,53.3,53.7,-0.4,-0.7449,38116.38,210022.065
100,301011.SZ,20210720,52.55,54.26,51.95,53.7,53.33,0.37,0.6938,28142.48,149332.412
101,301011.SZ,20210719,56.38,56.96,52.5,53.33,56.1,-2.77,-4.9376,37628.3,203308.85
102,301011.SZ,20210716,58.34,58.46,55.27,56.1,58.46,-2.36,-4.0369,52542.02,297423.023
103,301011.SZ,20210715,53.0,61.91,51.0,58.46,52.48,5.98,11.3948,80579.45,452553.406
104,301011.SZ,20210714,55.01,57.9,52.3,52.48,51.87,0.61,1.176,72994.08,400739.161
105,301011.SZ,20210713,49.7,53.33,49.7,51.87,49.31,2.56,5.1916,70719.43,366279.445
106,301011.SZ,20210712,47.65,49.35,46.13,49.31,48.01,1.3,2.7078,48077.01,229767.004
107,301011.SZ,20210709,47.9,49.9,47.55,48.01,47.5,0.51,1.0737,30008.39,145326.9
108,301011.SZ,20210708,48.08,49.92,47.13,47.5,49.07,-1.57,-3.1995,45176.43,218047.24
109,301011.SZ,20210707,47.0,50.58,46.99,49.07,47.55,1.52,3.1966,57364.97,282968.7
110,301011.SZ,20210706,45.66,49.0,45.24,47.55,45.88,1.67,3.6399,48418.86,231248.828
111,301011.SZ,20210705,45.93,46.5,45.36,45.88,45.47,0.41,0.9017,20676.83,95100.199
112,301011.SZ,20210702,46.89,47.3,45.36,45.47,47.52,-2.05,-4.314,28612.64,132215.491
113,301011.SZ,20210701,46.68,49.33,45.3,47.52,46.7,0.82,1.7559,53702.66,254146.222
114,301011.SZ,20210630,45.79,47.5,45.22,46.7,46.5,0.2,0.4301,37562.09,173565.718
115,301011.SZ,20210629,48.45,50.24,46.5,46.5,49.1,-2.6,-5.2953,51713.25,247729.582
116,301011.SZ,20210628,46.23,50.79,44.86,49.1,47.18,1.92,4.0695,82485.92,393388.582
117,301011.SZ,20210625,46.02,48.44,45.22,47.18,45.93,1.25,2.7215,62037.85,289749.404
118,301011.SZ,20210624,48.6,49.4,45.7,45.93,48.63,-2.7,-5.5521,60397.67,285528.587
119,301011.SZ,20210623,50.5,50.82,48.6,48.63,51.76,-3.13,-6.0471,73106.38,360665.659
120,301011.SZ,20210622,52.03,54.97,51.15,51.76,52.29,-0.53,-1.0136,84997.17,449606.09
121,301011.SZ,20210621,55.0,55.99,51.8,52.29,60.7,-8.41,-13.855,116255.65,622928.618
122,301011.SZ,20210618,68.0,73.1,60.7,60.7,61.5,-0.8,-1.3008,149716.81,996697.657
123,301011.SZ,20210617,61.0,70.0,60.02,61.5,14.2,47.3,333.0986,149954.23,960535.472
